-3	-20	10	8	3	1	0	-1	-0.25
-1	2	4	0	-2	-1	0	-2	0
0	4	9	7	2	2	2	1	3.375
-1	-4	0	-2	-3	-1	-1	-2	-1.75
2	-21	-9	-9	-6	-3	-3	0	-6.125
3	13	26	9	4	4	2	1	7.75
-9	-5	-11	11	0	1	1	-3	-1.875
3	3	21	18	4	1	0	1	6.375
1	8	-4	-4	-2	-1	-5	-6	-1.625
-2	-4	-15	-9	-3	-4	-1	-3	-5.125
20	-10	-20	-21	-3	-2	5	13	-2.25
0	-8	8	6	0	-1	0	-4	0.125
-5	-3	-6	5	-1	2	-5	2	-1.375
-23	-14	-82	-83	-11	-29	-18	-3	-32.875
-2	1	2	0	-1	-2	0	1	-0.125
11	-6	-17	-6	-5	-4	6	17	-0.5
-5	-6	7	9	-1	0	-5	-1	-0.25
12	-19	16	-3	-13	-19	4	7	-1.875
4	-1	0	2	2	2	0	0	1.125
-3	2	13	-2	-2	-2	-1	-1	0.5
-1	6	-10	-1	3	0	-1	0	-0.5
-7	-5	7	0	-1	0	-3	-6	-1.875
-2	2	-19	-13	-2	0	-3	0	-4.625
-6	-32	5	0	-1	-3	-2	-3	-5.25
1	-4	-4	2	1	-2	-2	0	-1
2	-1	4	1	-5	-3	-3	3	-0.25
-3	-3	0	0	-2	1	-1	-2	-1.25
-7	5	-1	1	-3	-1	-1	-4	-1.375
0	-4	1	2	2	1	-1	-3	-0.25
0	0	6	3	1	2	-2	-1	1.125
-3	1	1	-1	-1	0	1	-1	-0.375
-1	1	1	-2	-2	2	-1	-2	-0.5
-49	-62	-16	-59	-22	-24	-15	-56	-37.875
-4	-4	21	12	3	2	0	1	3.875
6	0	6	9	0	1	-3	0	2.375
-28	-5	-9	-7	-2	-6	1	5	-6.375
3	-4	8	-1	12	5	-9	-16	-0.25
0	-2	-6	0	-3	-4	-2	0	-2.125
0	-1	6	2	-1	0	-3	-1	0.25
1	11	4	0	-2	-1	0	0	1.625
-1	2	-34	-7	-3	-3	0	3	-5.375
-1	1	3	-2	-1	-1	-2	-1	-0.5
0	-6	-15	-5	-2	-3	0	1	-3.75
-2	11	3	1	-1	0	-2	-1	1.125
4	4	5	2	3	0	0	2	2.5
-1	-3	-4	-4	-1	-1	-1	-2	-2.125
-11	-30	-29	-6	-1	-3	-18	-27	-15.625
1	-1	6	5	2	0	2	1	2
-2	-3	-15	-3	1	-1	-6	-2	-3.875
-3	2	2	0	-1	-3	-1	-1	-0.625
1	0	-5	3	2	0	1	2	0.5
2	3	-7	-3	4	1	0	1	0.125
0	0	-3	-3	-3	-3	-1	-1	-1.75
0	-21	-9	4	7	2	4	2	-1.375
2	3	13	16	2	0	3	3	5.25
5	3	1	1	-3	0	0	1	1
7	-57	-103	-79	-37	-21	-28	-27	-43.125
-1	-44	58	39	11	10	-1	-8	8
0	-2	-6	-7	-6	-3	-2	-1	-3.375
6	50	2	0	3	1	-1	0	7.625
-2	-9	-2	1	-1	-1	0	-1	-1.875
1	3	3	-2	0	0	1	1	0.875
0	-1	-3	1	-1	1	0	-1	-0.5
-2	-2	-2	0	-2	0	1	0	-0.875
1	-2	-4	3	7	2	-3	1	0.625
-1	0	-6	1	-3	-1	4	1	-0.625
-2	4	-22	-10	-4	-3	2	2	-4.125
2	41	43	8	2	7	20	-15	13.5
-19	-17	-16	-8	-5	0	-2	-7	-9.25
2	0	19	4	1	0	-2	1	3.125
0	0	4	1	2	0	-2	0	0.625
0	0	0	1	4	0	1	-1	0.625
-2	-3	-26	-14	-7	-4	-1	-1	-7.25
-1	-22	-14	-8	-2	-2	0	-2	-6.375
-3	45	-3	-1	-1	0	1	1	4.875
-2	-3	12	6	3	0	1	0	2.125
5	38	-5	0	1	1	1	3	5.5
0	-6	3	-1	-1	-1	0	2	-0.5
-2	-5	-7	-3	-2	-2	-1	-1	-2.875
1	-1	6	3	2	2	1	1	1.875
-4	26	-8	-1	-2	0	-1	-2	1
-1	5	7	-2	-1	1	0	1	1.25
0	13	-3	-3	-2	-3	0	0	0.25
2	-17	37	16	2	2	1	0	5.375
-2	-5	7	1	-3	-1	-2	-1	-0.75
-2	-2	-9	-6	-2	-1	1	-3	-3
0	-7	-21	-4	3	1	-3	-3	-4.25
-3	24	6	2	1	2	1	1	4.25
7	23	25	10	2	1	-1	-1	8.25
-3	0	4	6	2	3	8	2	2.75
-2	3	2	-1	0	0	-1	0	0.125
1	-51	0	-14	-7	-4	-3	-1	-9.875
-1	-2	1	-3	-2	0	-1	0	-1
-11	-1	4	-4	-4	-2	-4	-3	-3.125
-2	-2	-5	1	-2	-3	-2	-1	-2
-2	-4	-8	-1	2	1	2	2	-1
-3	6	-2	-2	0	0	0	1	0
-1	3	-12	-2	0	0	0	-1	-1.625
4	14	16	5	2	1	2	2	5.75
-13	-38	-7	-5	-1	-3	-9	-9	-10.625
1	-2	9	5	5	0	-2	-1	1.875
0	2	16	17	12	4	2	1	6.75
-1	1	2	5	1	2	2	-1	1.375
2	-3	-10	-7	-4	-3	-2	0	-3.375
-6	-11	-8	-5	-7	-8	-9	-14	-8.5
