-1	6	6	4	-1	-1	0	1	
0	-1	-7	-1	-1	0	0	-1	
-4	34	-14	-6	-2	0	1	-1	
-1	-4	2	1	2	2	0	0	
-3	9	3	-4	0	-2	0	0	
0	-1	-2	2	3	1	1	-2	
0	4	6	0	1	0	-1	-1	
-2	-1	-7	-4	-2	-2	-2	0	
0	3	5	2	1	-1	1	-1	
-1	7	2	-2	-1	-1	2	-3	
-2	-17	-9	-13	-4	-2	1	-2	
0	9	-1	0	0	0	0	0	
1	-1	0	-1	0	-1	0	1	
3	-17	9	0	2	1	0	-1	
-21	80	-6	-20	-8	-12	-27	-14	
2	-1	-1	2	0	2	4	-1	
-2	-2	0	2	0	0	0	1	
-2	-1	1	-1	-1	-2	-1	-1	
-3	3	-1	-7	-4	-2	-1	-2	
2	3	15	9	1	0	1	1	
-1	-1	1	-9	-3	-3	-2	-1	
1	2	2	1	-1	-1	-2	-1	
-2	-3	-4	-5	-6	-8	-4	-3	
0	-13	-9	-6	-5	-2	-1	-2	
1	-1	2	-1	-3	-1	0	0	
0	-2	-7	-1	-2	-1	-1	-2	
-2	-1	0	-3	-3	-3	-1	-3	
-1	0	-2	1	0	-1	-3	-2	
1	1	-7	-3	0	-2	-2	1	
-2	6	-4	-6	-2	0	-1	-2	
3	-5	-4	-5	-4	-1	-5	1	
1	3	10	7	3	0	-1	-1	
-2	-1	0	0	-1	0	-2	0	
6	30	2	1	1	0	1	2	
4	50	27	9	1	1	0	3	
9	-21	-19	-5	-1	0	1	-1	
0	-1	3	1	0	-2	-1	-1	
0	2	4	3	0	1	1	2	
1	6	8	2	3	1	1	-1	
-3	11	-16	-1	2	1	-2	0	
3	2	1	2	-1	0	-2	0	
-6	-14	-10	-6	-1	-3	-3	-2	
-1	-19	-15	-8	2	-3	-5	1	
7	11	-5	4	2	1	1	0	
-2	11	15	-5	-5	-3	-4	-2	
2	7	0	-1	-1	-2	-1	-1	
0	-2	-5	0	0	-1	3	1	
2	-10	5	0	-1	-2	1	-3	
















-1	1	10	0	-3	-1	-1	1	
12	9	-17	-5	5	5	5	12	
1	-2	8	5	-2	-1	0	0	
0	1	-1	3	-2	1	1	-1	
-3	-5	-4	2	1	0	0	-2	
0	4	28	12	-1	-3	-2	0	
3	15	-3	1	-1	-2	-2	-2	
-2	-2	-3	-2	0	-1	-2	-2	
4	-11	-54	-40	-13	-4	26	20	
0	1	1	1	1	0	-2	2	
0	1	-6	1	0	-1	0	0	





























-2	-7	-8	-12	-7	-3	-3	-1	
-1	1	1	0	3	-2	-1	-1	
3	6	5	4	1	0	3	1	
-9	-21	-11	-4	-3	-3	-5	-3	
0	-24	-4	-15	-14	-7	-5	-3	
-1	0	0	-1	0	0	-1	-2	
0	0	-2	0	-1	-1	-1	0	
-2	-37	-24	-28	-8	-5	-2	-4	

-3	-3	-3	0	-2	1	1	-1	
-3	-28	0	-1	-2	-3	-1	-2	
0	-1	3	2	-2	-1	0	0	
-4	-9	-17	-6	-2	-2	-1	-1	
0	1	-2	2	0	-1	-1	-2	
-9	-3	2	3	3	1	-3	-1	
-1	0	2	-8	-7	-2	1	-1	
